Post_ID,Platform,Content_Type,Content_Category,Post_Type,Region,Longitude,Latitude,Engagement,Views,Likes,Shares,Comments,Engagement_Rate,Impressions,Video_Views,Live_Stream_Views,Clicks,Click_Through_Rate,Main_Hashtag,Post_Published_At,Post_Date,Post_Hour,Engagement_Level
Post_14,YouTube,Organic,Educational,Video,Japan,138.2529,36.2048,71888,311167,67115,10487,10685,0.2310287511,349494,281653,0,,,#CustomerStory,2025-04-22 19:01:00,2025-04-22 00:00:00,19,High
Post_15,X.com,Organic,Entertainment,Text,Germany,10.4515,51.1657,53010,566252,84730,18787,18368,0.09361641478,659704,0,0,,,#FunContent,2024-05-16 15:46:00,2024-05-16 00:00:00,15,Low
Post_16,YouTube,Organic,Product Promotion,Live Stream,Canada,-106.3468,56.1304,30263,347554,72792,21505,19285,0.0870748367,415133,0,679391,,,#ProductDemo,2025-01-07 15:38:00,2025-01-07 00:00:00,15,Low
Post_17,X.com,Organic,Educational,Image,UK,-3.436,55.3781,58337,347296,63968,23806,13805,0.1679771626,418334,0,0,,,#SuccessStory,2024-12-01 11:31:00,2024-12-01 00:00:00,11,Medium
Post_18,TikTok,Sponsored,Educational,Video,UK,-3.436,55.3781,510212,2596696,426198,81201,63140,0.1964853715,2872688,2596696,0,31312,0.0109,#CustomerStory,2024-06-11 10:59:00,2024-06-11 00:00:00,10,Medium
Post_19,TikTok,Organic,Product Promotion,Video,USA,-95.7129,37.0902,29522,216249,38121,16300,6481,0.1365221793,255622,3466,0,3246,0.0127,#FeatureHighlight,2024-01-16 11:03:00,2024-01-16 00:00:00,11,Medium
Post_20,YouTube,Organic,Educational,Video,UK,-3.436,55.3781,58869,354249,75572,14680,8175,0.166182088,410202,308035,0,,,#CustomerStory,2024-10-14 12:04:00,2024-10-14 00:00:00,12,Medium
Post_21,X.com,Organic,Product Promotion,Video,Brazil,-51.9253,-14.235,340149,2376086,548208,166762,65253,0.1431555055,3037853,2376086,0,,,#ProductDemo,2024-06-17 17:58:00,2024-06-17 00:00:00,17,Medium
Post_22,TikTok,Organic,Product Promotion,Live Stream,USA,-95.7129,37.0902,49757,365818,66176,25743,20428,0.1360166343,425666,0,77512,4937,0.0116,#FeatureHighlight,2025-01-26 15:13:00,2025-01-26 00:00:00,15,Medium
Post_23,YouTube,Organic,Product Promotion,Video,Brazil,-51.9253,-14.235,197894,1705918,379911,124594,34592,0.1160048022,2050768,1705918,0,,,#ProductDemo,2024-11-14 19:45:00,2024-11-14 00:00:00,19,Medium
Post_24,X.com,Organic,Product Promotion,Video,Japan,138.2529,36.2048,113610,902363,146734,37091,22373,0.1259034396,1053529,902363,0,,,#ProductDemo,2024-08-11 11:42:00,2024-08-11 00:00:00,11,Medium
Post_25,YouTube,Organic,Educational,Video,Germany,10.4515,51.1657,58395,233871,41586,15236,8079,0.2496911331,302712,204799,0,,,#CustomerStory,2024-08-30 12:00:00,2024-08-30 00:00:00,12,High
Post_26,YouTube,Organic,Event / Webinar,Live Stream,Brazil,-51.9253,-14.235,42412,290405,70965,12368,11584,0.1460466657,336920,0,927260,,,#WebinarReplay,2024-05-22 10:02:00,2024-05-22 00:00:00,10,Medium
Post_27,Instagram,Organic,Product Promotion,Video,India,78.9629,20.5937,250854,2076760,364267,67648,64682,0.1207913176,2661686,2076760,0,,,#ProductDemo,2024-06-27 17:00:00,2024-06-27 00:00:00,17,Medium
Post_28,YouTube,Organic,Entertainment,Video,Canada,-106.3468,56.1304,35665,413478,56205,15399,16364,0.0862567927,536334,397501,0,,,#TrendingNow,2024-09-19 15:50:00,2024-09-19 00:00:00,15,Low
Post_29,Instagram,Organic,Event / Webinar,Live Stream,Canada,-106.3468,56.1304,35525,326729,69999,13684,16051,0.1087304702,383434,0,352922,,,#EventRecap,2025-01-17 12:34:00,2025-01-17 00:00:00,12,Medium
Post_30,YouTube,Organic,Event / Webinar,Live Stream,Japan,138.2529,36.2048,182898,1137655,221876,64605,26861,0.1607682962,1441477,0,981170,,,#WebinarReplay,2024-07-06 11:19:00,2024-07-06 00:00:00,11,Medium
Post_31,LinkedIn,Organic,Educational,Image,Australia,133.7751,-25.2744,84944,420660,43112,23390,12224,20%,517005,0,0,,,#SuccessStory,3:57:00 PM,5/7/2024,15,High
Post_32,X.com,Organic,Product Promotion,Video,USA,-95.7129,37.0902,230631,2655192,334965,171384,94178,0.0868605042,3418150,2655192,0,,,#ProductDemo,2024-12-23 17:08:00,2024-12-23 00:00:00,17,Low
Post_33,YouTube,Organic,Event / Webinar,Live Stream,USA,-95.7129,37.0902,33791,211173,24711,16098,11634,0.1600170654,243184,0,1489976,,,#WebinarReplay,2024-04-25 10:06:00,2024-04-25 00:00:00,10,Medium
Post_34,YouTube,Organic,Educational,Video,Australia,133.7751,-25.2744,25047,161448,35935,9325,6649,0.1551432367,185402,143334,0,,,#CustomerStory,2024-01-15 17:21:00,2024-01-15 00:00:00,17,Medium
Post_35,YouTube,Sponsored,Educational,Video,UK,-3.436,55.3781,49341,275988,41634,13098,13533,0.1787804516,353105,235164,0,,,#CustomerStory,2025-04-10 12:06:00,2025-04-10 00:00:00,12,Medium
Post_36,TikTok,Organic,Educational,Live Stream,Japan,138.2529,36.2048,50766,328182,76487,22642,14991,0.1546889989,366522,0,90407,8136,0.0222,#SuccessStory,2024-08-03 10:52:00,2024-08-03 00:00:00,10,Medium
Post_37,LinkedIn,Organic,Educational,Carousel,Germany,10.4515,51.1657,49910,272628,27638,9562,12688,18%,300166,0,0,,,#SuccessStory,8:02:00 AM,6/14/2024,8,Medium
Post_38,Instagram,Organic,Product Promotion,Video,India,78.9629,20.5937,316200,2635551,327127,151377,125652,0.1199752201,3242761,2635551,0,,,#ProductDemo,2025-01-09 10:02:00,2025-01-09 00:00:00,10,Medium
Post_39,TikTok,Organic,Product Promotion,Video,USA,-95.7129,37.0902,310863,2550875,345866,118028,127185,0.1218655132,3137388,2550875,0,33256,0.0106,#ProductDemo,2024-01-20 11:03:00,2024-01-20 00:00:00,11,Medium
Post_40,X.com,Organic,Educational,Text,USA,-95.7129,37.0902,47357,309100,70284,19436,13208,0.1532110975,345800,0,0,,,#SuccessStory,2025-01-24 18:18:00,2025-01-24 00:00:00,18,Medium
Post_41,X.com,Organic,Educational,Text,India,78.9629,20.5937,23893,113012,15437,8888,4037,0.2114286554,144475,0,0,,,#SuccessStory,2024-03-29 10:16:00,2024-03-29 00:00:00,10,High
Post_42,YouTube,Organic,Event / Webinar,Live Stream,Australia,133.7751,-25.2744,29587,172821,33643,12052,6931,0.17120115,210043,0,1238776,,,#WebinarReplay,2024-06-26 17:18:00,2024-06-26 00:00:00,17,Medium
Post_43,X.com,Organic,Event / Webinar,Image,Brazil,-51.9253,-14.235,94256,625133,88841,19514,28642,0.1507787515,709789,0,0,,,#EventRecap,2025-04-13 14:10:00,2025-04-13 00:00:00,14,Medium
Post_44,YouTube,Organic,Entertainment,Video,Brazil,-51.9253,-14.235,90944,1357131,329904,102793,47236,0.06701200804,1497039,1357131,0,,,#TrendingNow,2024-08-30 12:02:00,2024-08-30 00:00:00,12,Low
Post_45,X.com,Organic,Educational,Video,Germany,10.4515,51.1657,461737,1906900,467187,149083,103202,0.24214033,2209886,1906900,0,,,#CustomerStory,2024-01-26 12:18:00,2024-01-26 00:00:00,12,High
Post_46,LinkedIn,Sponsored,Educational,Image,Brazil,-51.9253,-14.235,56165,324034,51121,23510,10588,17%,367421,0,0,,,#SuccessStory,12:58:00 PM,3/20/2024,12,Medium
Post_47,LinkedIn,Organic,Educational,Image,Japan,138.2529,36.2048,76384,321010,65615,18780,7667,24%,392595,0,0,,,#DidYouKnow,5:57:00 PM,1/24/2025,17,High
Post_48,Instagram,Organic,Product Promotion,Live Stream,India,78.9629,20.5937,24245,259247,64424,9593,10559,0.09352372693,330662,0,396307,,,#FeatureHighlight,2025-04-04 12:20:00,2025-04-04 00:00:00,12,Low
Post_49,X.com,Organic,Event / Webinar,Text,USA,-95.7129,37.0902,37651,358305,55151,16008,18766,0.105081699,452189,0,0,,,#EventRecap,2024-10-09 17:50:00,2024-10-09 00:00:00,17,Medium
Post_50,LinkedIn,Organic,Educational,Image,Japan,138.2529,36.2048,56148,355380,84220,19747,14236,16%,447657,0,0,,,#TrendingNow,11:15:00 AM,4/18/2024,11,Medium
Post_51,YouTube,Organic,Entertainment,Video,Australia,133.7751,-25.2744,66461,766176,168075,57080,25682,0.08674468219,900346,721558,0,,,#TrendingNow,2024-09-13 14:16:00,2024-09-13 00:00:00,14,Low
Post_52,YouTube,Organic,Event / Webinar,Live Stream,Canada,-106.3468,56.1304,59324,348820,39799,20550,7477,0.1700714888,416183,0,1313966,,,#WebinarReplay,2024-06-02 16:16:00,2024-06-02 00:00:00,16,Medium
Post_53,YouTube,Organic,Educational,Video,Japan,138.2529,36.2048,62842,318626,33320,10153,16856,0.1972285543,373441,302283,0,,,#CustomerStory,2025-04-29 12:49:00,2025-04-29 00:00:00,12,Medium
Post_54,X.com,Organic,Customer Story,Text,Canada,-106.3468,56.1304,22102,88728,10563,4978,4507,0.2491072823,101430,0,0,,,#SuccessStory,2024-05-06 14:37:00,2024-05-06 00:00:00,14,High
Post_55,X.com,Organic,Customer Story,Text,USA,-95.7129,37.0902,38446,176963,19068,10010,7366,0.2172582717,217219,0,0,,,#SuccessStory,2025-04-16 18:13:00,2025-04-16 00:00:00,18,High
Post_56,YouTube,Organic,Customer Story,Video,Australia,133.7751,-25.2744,45706,271645,56750,21403,11042,0.1682590883,316355,243887,0,,,#CustomerStory,2024-09-30 15:14:00,2024-09-30 00:00:00,15,Medium
Post_57,Instagram,Organic,Event / Webinar,Live Stream,Australia,133.7751,-25.2744,24855,183821,30485,6235,3862,0.1352135707,237594,0,434392,,,#EventRecap,2025-03-30 16:50:00,2025-03-30 00:00:00,16,Medium
Post_58,X.com,Organic,Product Promotion,Video,Australia,133.7751,-25.2744,323794,2639325,539467,133147,71081,0.1226808084,2985835,2639325,0,,,#ProductDemo,2024-03-14 12:28:00,2024-03-14 00:00:00,12,Medium
Post_59,YouTube,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,90452,563553,116762,35509,17581,0.1605041931,727531,0,1606845,,,#WebinarReplay,2024-06-07 17:53:00,2024-06-07 00:00:00,17,Medium
Post_60,X.com,Organic,Customer Story,Text,UK,-3.436,55.3781,15641,88777,16259,5378,3265,0.1761924858,102053,0,0,,,#SuccessStory,2025-04-07 17:26:00,2025-04-07 00:00:00,17,Medium
Post_61,TikTok,Organic,Customer Story,Video,USA,-95.7129,37.0902,44094,226260,25946,12349,8810,0.1948850054,256723,468,0,3157,0.0123,#SuccessStory,2024-05-14 16:21:00,2024-05-14 00:00:00,16,Medium
Post_62,YouTube,Organic,Entertainment,Video,Australia,133.7751,-25.2744,192243,3404004,561925,169945,151934,0.05647575983,4176776,3404004,0,,,#TrendingNow,2024-10-13 15:11:00,2024-10-13 00:00:00,15,Low
Post_63,TikTok,Sponsored,Customer Story,Video,India,78.9629,20.5937,47176,237158,45979,13080,12868,0.1989231133,292116,8468,0,3622,0.0124,#SuccessStory,2025-04-27 09:51:00,2025-04-27 00:00:00,9,Medium
Post_64,Instagram,Organic,Entertainment,Video,Canada,-106.3468,56.1304,92499,1650751,205419,55347,75433,0.05603488279,1824578,1650751,0,,,#TrendingNow,2024-04-13 09:37:00,2024-04-13 00:00:00,9,Medium
Post_65,YouTube,Organic,Product Promotion,Video,Canada,-106.3468,56.1304,327348,2485372,463077,122798,113659,0.1317100153,2961694,2485372,0,,,#ProductDemo,2024-04-13 18:44:00,2024-04-13 00:00:00,18,Medium
Post_66,TikTok,Sponsored,Customer Story,Video,Japan,138.2529,36.2048,104880,525218,95506,40480,18615,0.1996886328,678706,56456,0,11402,0.0168,#SuccessStory,2025-01-20 13:24:00,2025-01-20 00:00:00,13,Medium
Post_67,YouTube,Sponsored,Product Promotion,Video,Brazil,-51.9253,-14.235,157052,1635175,241754,118131,34225,0.09604650492,2065052,1635175,0,,,#ProductDemo,2024-02-17 10:42:00,2024-02-17 00:00:00,10,Low
Post_68,X.com,Organic,Customer Story,Image,Japan,138.2529,36.2048,47775,270759,38523,9722,12961,0.1764512678,331893,0,0,,,#SuccessStory,2024-07-30 17:37:00,2024-07-30 00:00:00,17,Medium
Post_69,X.com,Organic,Customer Story,Text,USA,-95.7129,37.0902,48375,286201,63113,12621,7755,0.1690246477,357786,0,0,,,#SuccessStory,2024-04-28 15:10:00,2024-04-28 00:00:00,15,Medium
Post_70,YouTube,Organic,Customer Story,Video,Australia,133.7751,-25.2744,52152,308131,68104,24504,11248,0.1692544568,361870,277529,0,,,#CustomerStory,2025-01-01 11:25:00,2025-01-01 00:00:00,11,Medium
Post_71,X.com,Organic,Customer Story,Text,Japan,138.2529,36.2048,35713,183079,43868,13350,6803,0.1950717779,228880,0,0,,,#SuccessStory,2024-09-21 17:50:00,2024-09-21 00:00:00,17,Medium
Post_72,LinkedIn,Sponsored,Customer Story,Image,Australia,133.7751,-25.2744,83199,366193,78065,12873,20544,23%,439816,0,0,,,#SuccessStory,5:14:00 PM,4/1/2025,17,High
Post_73,TikTok,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,57003,395362,92644,19554,8078,0.1441801459,506488,0,72821,10028,0.0198,#EventRecap,2024-07-06 15:20:00,2024-07-06 00:00:00,15,Medium
Post_74,TikTok,Organic,Product Promotion,Video,India,78.9629,20.5937,84990,689828,102023,53463,40026,0.1232054358,837925,46456,0,10474,0.0125,#FeatureHighlight,2024-03-01 16:01:00,2024-03-01 00:00:00,16,Medium
Post_75,YouTube,Organic,Customer Story,Video,USA,-95.7129,37.0902,233861,1386334,199606,64371,65020,0.1686906908,1733575,1386334,0,,,#CustomerStory,2025-02-06 15:56:00,2025-02-06 00:00:00,15,Medium
Post_76,LinkedIn,Organic,Customer Story,Carousel,India,78.9629,20.5937,97469,459238,100452,31908,10860,21%,550573,0,0,,,#SuccessStory,2:33:00 PM,10/27/2024,14,High
Post_77,X.com,Organic,Product Promotion,Video,India,78.9629,20.5937,279067,2056853,341909,152999,70008,0.1356770063,2310696,2056853,0,,,#ProductDemo,2024-04-02 15:53:00,2024-04-02 00:00:00,15,Medium
Post_78,X.com,Organic,Product Promotion,Video,Australia,133.7751,-25.2744,205446,1492128,181217,101577,66740,0.1376866027,1671518,1492128,0,,,#ProductDemo,2024-05-10 11:50:00,2024-05-10 00:00:00,11,Medium
Post_79,LinkedIn,Organic,Customer Story,Image,USA,-95.7129,37.0902,42131,274496,30445,19514,13244,15%,306411,0,0,,,#SuccessStory,11:51:00 AM,2/6/2025,11,Medium
Post_82,Instagram,Organic,Event / Webinar,Live Stream,Australia,133.7751,-25.2744,25681,228655,26679,12491,4676,0.1123141451,272952,0,122521,,,#EventRecap,2024-09-02 17:48:00,2024-09-02 00:00:00,17,Medium
Post_83,Instagram,Organic,Event / Webinar,Live Stream,Japan,138.2529,36.2048,63317,377113,70710,29455,13197,0.1679011106,436373,0,447439,,,#EventRecap,2024-10-28 17:16:00,2024-10-28 00:00:00,17,Medium
Post_84,Instagram,Organic,Product Promotion,Video,Brazil,-51.9253,-14.235,330276,2578147,344284,201510,52816,0.128106259,3336059,2578147,0,,,#ProductDemo,2025-03-02 15:36:00,2025-03-02 00:00:00,15,Medium
Post_85,X.com,Organic,Entertainment,Video,Brazil,-51.9253,-14.235,128170,2168069,240806,125081,127421,0.05911725247,2611698,2168069,0,,,#TrendingNow,2025-02-04 09:54:00,2025-02-04 00:00:00,9,Low
Post_86,TikTok,Organic,Customer Story,Video,Canada,-106.3468,56.1304,308010,2009444,390655,130186,76723,0.153281615,2462596,2009444,0,50729,0.0206,#CustomerStory,2024-12-31 08:54:00,2024-12-31 00:00:00,8,Medium
Post_87,X.com,Organic,Entertainment,Text,India,78.9629,20.5937,66826,674464,72044,29708,39130,0.09908125021,862000,0,0,,,#FunContent,2024-05-09 15:48:00,2024-05-09 00:00:00,15,Low
Post_88,X.com,Organic,Customer Story,Text,Japan,138.2529,36.2048,83720,536668,90347,32740,16687,0.1560009633,610526,0,0,,,#SuccessStory,2024-04-07 18:11:00,2024-04-07 00:00:00,18,Medium
Post_89,YouTube,Organic,Customer Story,Video,Brazil,-51.9253,-14.235,14583,75220,14107,2548,4436,0.1938734982,97578,68179,0,,,#CustomerStory,2024-12-02 16:53:00,2024-12-02 00:00:00,16,Medium
Post_90,YouTube,Organic,Customer Story,Video,Japan,138.2529,36.2048,41913,197424,40417,11214,6392,0.2122996953,249298,192849,0,,,#CustomerStory,2024-02-07 19:34:00,2024-02-07 00:00:00,19,High
Post_91,TikTok,Organic,Customer Story,Video,Germany,10.4515,51.1657,27066,160158,37899,11391,9287,0.1689963283,199419,8468,0,4088,0.0205,#SuccessStory,2024-01-15 11:22:00,2024-01-15 00:00:00,11,Medium
Post_92,X.com,Organic,Entertainment,Image,India,78.9629,20.5937,55267,598383,114896,30464,34292,0.09236156843,761868,0,0,,,#FunContent,2024-10-11 16:22:00,2024-10-11 00:00:00,16,Low
Post_93,X.com,Organic,Product Promotion,Text,UK,-3.436,55.3781,71785,735888,182567,27611,32206,0.09754920467,865535,0,0,,,#FeatureHighlight,2025-03-16 14:48:00,2025-03-16 00:00:00,14,Low
Post_94,YouTube,Organic,Customer Story,Video,UK,-3.436,55.3781,41710,203082,49854,14643,10871,0.2053897273,242426,173925,0,,,#CustomerStory,2024-02-09 10:26:00,2024-02-09 00:00:00,10,High
Post_95,TikTok,Organic,Product Promotion,Video,Germany,10.4515,51.1657,79719,804179,87218,58894,42232,0.09913123488,1045387,804179,0,23730,0.0227,#ProductDemo,2025-02-19 19:50:00,2025-02-19 00:00:00,19,Low
Post_96,TikTok,Organic,Customer Story,Video,India,78.9629,20.5937,45113,190062,47419,10980,9647,0.2373610669,244981,79689,0,3013,0.0123,#SuccessStory,2024-02-09 10:02:00,2024-02-09 00:00:00,10,High
Post_97,TikTok,Organic,Event / Webinar,Live Stream,UK,-3.436,55.3781,28872,204993,34353,7473,11922,0.140848533,250344,0,107160,5807,0.0232,#EventRecap,2025-01-03 15:39:00,2025-01-03 00:00:00,15,Medium
Post_98,TikTok,Sponsored,Entertainment,Video,Australia,133.7751,-25.2744,36754,624569,125385,38040,21439,0.05884740816,701210,2342,0,13743,0.0196,#FunContent,2024-04-22 17:13:00,2024-04-22 00:00:00,17,Low
Post_99,Instagram,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,41558,274233,59192,15359,14832,0.1515433376,331926,0,324375,,,#EventRecap,2024-03-27 11:37:00,2024-03-27 00:00:00,11,Medium
Post_100,YouTube,Organic,Entertainment,Video,Canada,-106.3468,56.1304,90883,909479,210542,45632,23064,0.09992943875,1005662,850396,0,,,#TrendingNow,2024-09-02 11:46:00,2024-09-02 00:00:00,11,Low
Post_101,YouTube,Organic,Event / Webinar,Live Stream,Germany,10.4515,51.1657,36511,314537,64672,12785,8006,0.1160798266,346905,0,1025881,,,#WebinarReplay,2024-02-09 12:59:00,2024-02-09 00:00:00,12,Medium
Post_103,X.com,Organic,Product Promotion,Video,Germany,10.4515,51.1657,267893,3126767,498661,191059,170391,0.08567759396,4033229,3126767,0,,,#ProductDemo,2025-04-01 17:09:00,2025-04-01 00:00:00,17,Low
Post_104,LinkedIn,Organic,Customer Story,Image,India,78.9629,20.5937,43637,257409,31419,19647,10215,17%,296444,0,0,,,#SuccessStory,5:25:00 PM,3/17/2024,17,Medium
Post_105,LinkedIn,Sponsored,Product Promotion,Carousel,Japan,138.2529,36.2048,73442,576813,100303,26785,26150,13%,662198,0,0,,,#FeatureHighlight,4:45:00 PM,11/17/2024,16,Medium
Post_106,X.com,Organic,Event / Webinar,Text,USA,-95.7129,37.0902,29874,246730,27480,8991,6198,0.1210818159,278898,0,0,,,#EventRecap,2025-02-08 17:05:00,2025-02-08 00:00:00,17,Medium
Post_107,YouTube,Organic,Customer Story,Video,UK,-3.436,55.3781,34091,139874,21239,10468,5449,0.2437287759,172536,128548,0,,,#CustomerStory,2024-12-16 11:02:00,2024-12-16 00:00:00,11,High
Post_108,TikTok,Organic,Customer Story,Video,Germany,10.4515,51.1657,49519,298767,37599,11835,6463,0.1657465666,338738,6868,0,4437,0.0131,#SuccessStory,2024-11-13 16:03:00,2024-11-13 00:00:00,16,Medium
Post_109,Instagram,Organic,Entertainment,Video,USA,-95.7129,37.0902,75452,1388375,157310,50025,53356,0.05434561249,1584506,1388375,0,,,#TrendingNow,2024-07-22 14:54:00,2024-07-22 00:00:00,14,Low
Post_110,X.com,Organic,Product Promotion,Video,USA,-95.7129,37.0902,203199,1580730,244444,87210,75267,0.1285478073,1751231,1580730,0,,,#ProductDemo,2025-02-26 15:24:00,2025-02-26 00:00:00,15,Medium
Post_111,X.com,Organic,Customer Story,Text,Australia,133.7751,-25.2744,73433,301458,33842,22211,17133,0.2435938165,335286,0,0,,,#SuccessStory,2024-06-02 16:15:00,2024-06-02 00:00:00,16,High
Post_112,Instagram,Organic,Product Promotion,Video,Brazil,-51.9253,-14.235,392071,2903476,410933,204143,144971,0.1350351945,3300974,2903476,0,,,#ProductDemo,2024-07-21 13:09:00,2024-07-21 00:00:00,13,Medium
Post_113,TikTok,Organic,Product Promotion,Video,Australia,133.7751,-25.2744,171370,1589540,274479,96823,55246,0.1078111376,1895537,1589540,0,38289,0.0202,#ProductDemo,2024-01-20 12:06:00,2024-01-20 00:00:00,12,Medium
Post_114,YouTube,Organic,Event / Webinar,Live Stream,Brazil,-51.9253,-14.235,20501,127194,26980,4049,3828,0.1611843123,158060,0,1842810,,,#WebinarReplay,2024-08-10 11:41:00,2024-08-10 00:00:00,11,Medium
Post_115,LinkedIn,Organic,Customer Story,Image,Canada,-106.3468,56.1304,87772,557888,64757,29216,23043,16%,640731,0,0,,,#SuccessStory,11:30:00 AM,4/17/2025,11,Medium
Post_116,TikTok,Organic,Product Promotion,Video,Australia,133.7751,-25.2744,76705,723914,101627,35373,15059,0.1059589257,842936,3535,0,14751,0.0175,#FeatureHighlight,2024-03-22 08:55:00,2024-03-22 00:00:00,8,Medium
Post_117,X.com,Organic,Product Promotion,Video,USA,-95.7129,37.0902,220389,1515070,178724,112912,66274,0.1454651412,1872354,1515070,0,,,#ProductDemo,2024-10-25 16:05:00,2024-10-25 00:00:00,16,Medium
Post_118,TikTok,Organic,Entertainment,Video,Germany,10.4515,51.1657,60434,1188838,259613,65293,27910,0.05083515189,1435428,1188838,0,25550,0.0178,#TrendingNow,2024-11-26 16:40:00,2024-11-26 00:00:00,16,Low
Post_119,YouTube,Sponsored,Product Promotion,Video,India,78.9629,20.5937,335622,3142343,517697,114315,98515,0.1068065747,3684763,3142343,0,,,#ProductDemo,2024-05-21 11:28:00,2024-05-21 00:00:00,11,Medium
Post_120,TikTok,Organic,Entertainment,Video,Germany,10.4515,51.1657,163778,2404182,473353,140738,82328,0.06812237659,3118952,2404182,0,50838,0.0163,#TrendingNow,2025-04-30 15:02:00,2025-04-30 00:00:00,15,Low
Post_121,Instagram,Sponsored,Product Promotion,Video,Australia,133.7751,-25.2744,97978,951074,109627,35801,28378,0.1030190823,1076745,951074,0,,,#ProductDemo,2024-05-31 10:53:00,2024-05-31 00:00:00,10,Medium
Post_122,YouTube,Organic,Event / Webinar,Live Stream,India,78.9629,20.5937,53883,306296,39201,13555,8250,0.1759183027,391860,0,620350,,,#WebinarReplay,2024-08-23 16:27:00,2024-08-23 00:00:00,16,Medium
Post_123,TikTok,Organic,Product Promotion,Video,UK,-3.436,55.3781,13089,122930,30407,4376,4414,0.1064799545,159058,122930,0,1892,0.0119,#ProductDemo,2024-10-29 15:24:00,2024-10-29 00:00:00,15,Medium
Post_124,LinkedIn,Organic,Product Promotion,Video,USA,-95.7129,37.0902,76171,636928,146382,45128,19309,12%,722389,559600,0,,,#FeatureHighlight,11:00:00 AM,3/6/2024,11,Medium
Post_125,YouTube,Organic,Product Promotion,Video,USA,-95.7129,37.0902,292690,2396237,439744,140373,74760,0.122145896,3004638,2396237,0,,,#ProductDemo,2024-06-11 15:03:00,2024-06-11 00:00:00,15,Medium
Post_126,Instagram,Organic,Customer Story,Video,Japan,138.2529,36.2048,352502,2155627,276042,99555,79795,0.1635266083,2590033,2155627,0,,,#CustomerStory,2024-03-01 17:19:00,2024-03-01 00:00:00,17,Medium
Post_127,TikTok,Organic,Product Promotion,Video,Germany,10.4515,51.1657,144021,1656035,317284,73580,71622,0.08696782219,1872764,1656035,0,44009,0.0235,#ProductDemo,2024-07-30 17:23:00,2024-07-30 00:00:00,17,Low
